,Date,Time,Latit(N),Long(E),Depth(km),MD,ML,Mw,Location1,Location2,None1,None2,None3,None4,None5
0,2020.12.03,09:29:54,37.3238,37.2782,0.0,-.-,1.6,-.-,YIGITLER-PAZARCIK,(KAHRAMANMARAS),Quick,,,,
1,2020.12.03,09:23:41,37.9583,41.7457,7.3,-.-,2.2,-.-,OYACIK-KURTALAN,(SIIRT),Quick,,,,
2,2020.12.03,09:22:19,38.0212,41.74,7.3,-.-,2.2,-.-,TUTUN-KURTALAN,(SIIRT),Quick,,,,
3,2020.12.03,09:20:06,37.3115,28.2458,22.8,-.-,1.7,-.-,ALASAR-YATAGAN,(MUGLA),Quick,,,,
4,2020.12.03,09:17:06,37.7067,27.0653,3.5,-.-,1.3,-.-,KUSADASI,KORFEZI,(AEGEAN,SEA),Quick,,
5,2020.12.03,09:08:23,40.4435,29.1905,0.0,-.-,0.9,-.-,CIHATLI-GEMLIK,(BURSA),Quick,,,,
6,2020.12.03,09:07:08,40.4558,29.284,0.0,-.-,1.3,-.-,CELTIKCI-ORHANGAZI,(BURSA),Quick,,,,
7,2020.12.03,09:02:07,38.071,42.8208,5.0,-.-,2.4,-.-,CEVIZLIBELEN-BAHCESARAY,(VAN),Quick,,,,
8,2020.12.03,09:00:05,37.2643,31.7762,4.3,-.-,2.3,-.-,DEGIRMENLIK-AKSEKI,(ANTALYA),Quick,,,,
9,2020.12.03,08:54:25,37.8773,26.9945,5.3,-.-,2.2,-.-,KUSADASI,KORFEZI,(AEGEAN,SEA),Quick,,
10,2020.12.03,08:47:12,38.9055,30.0165,5.0,-.-,2.7,-.-,BUYUKASLIHANLAR-DUMLUPINAR,(KUTAHYA),Quick,,,,
11,2020.12.03,08:44:55,37.1732,37.089,0.0,-.-,1.5,-.-,YAMACOBA-SEHITKAMIL,(GAZIANTEP),Quick,,,,
12,2020.12.03,08:41:38,37.197,37.1877,0.0,-.-,1.5,-.-,UCGOZE-SEHITKAMIL,(GAZIANTEP),Quick,,,,
13,2020.12.03,08:34:05,37.7242,27.0623,5.2,-.-,1.8,-.-,KUSADASI,KORFEZI,(AEGEAN,SEA),Quick,,
14,2020.12.03,08:30:43,40.5247,29.2437,0.0,-.-,0.8,-.-,HAMZALI-ORHANGAZI,(BURSA),Quick,,,,
15,2020.12.03,08:21:45,37.9352,26.9552,9.2,-.-,2.7,-.-,KUSADASI,KORFEZI,(AEGEAN,SEA),Quick,,
16,2020.12.03,07:41:47,37.9808,41.7202,6.1,-.-,2.4,-.-,OYACIK-KURTALAN,(SIIRT),Quick,,,,
17,2020.12.03,07:36:02,37.834,26.7332,18.3,-.-,1.6,-.-,AEGEAN,SEA,Quick,,,,
18,2020.12.03,07:26:13,37.961,41.7133,6.7,-.-,2.0,-.-,OYACIK-KURTALAN,(SIIRT),Quick,,,,
19,2020.12.03,07:23:34,39.4443,27.8727,8.0,-.-,2.5,-.-,BEREKETLI-(BALIKESIR),Quick,,,,,
20,2020.12.03,07:00:20,38.8485,25.5598,7.7,-.-,2.1,-.-,AEGEAN,SEA,Quick,,,,
21,2020.12.03,06:52:49,38.3618,26.585,5.4,-.-,2.5,-.-,KADIOVACIK-URLA,(IZMIR),Quick,,,,
22,2020.12.03,06:41:56,37.8882,26.9688,28.5,-.-,1.7,-.-,KUSADASI,KORFEZI,(AEGEAN,SEA),Quick,,
23,2020.12.03,06:37:55,39.0598,30.0557,1.4,-.-,1.2,-.-,AKCAKOY-ALTINTAS,(KUTAHYA),Quick,,,,
24,2020.12.03,06:21:53,37.9013,27.4558,15.2,-.-,1.7,-.-,NAIPLI-GERMENCIK,(AYDIN),Quick,,,,
25,2020.12.03,05:51:04,40.5652,29.0077,1.4,-.-,1.4,-.-,SELIMIYE-ARMUTLU,(YALOVA),Quick,,,,
26,2020.12.03,05:50:18,40.5802,29.0113,3.2,-.-,1.6,-.-,SENKOY-CINARCIK,(YALOVA),Quick,,,,
28,2020.12.03,05:35:38,40.4918,29.0648,14.5,-.-,1.3,-.-,KARACAALI-GEMLIK,(BURSA),Quick,,,,
29,2020.12.03,05:08:15,37.8433,26.9385,11.2,-.-,1.8,-.-,KUSADASI,KORFEZI,(AEGEAN,SEA),Quick,,
30,2020.12.03,04:33:11,38.6775,27.2728,11.3,-.-,1.6,-.-,YAGCILAR-(MANISA),Quick,,,,,
31,2020.12.03,03:53:05,38.9207,30.0655,3.0,-.-,2.6,-.-,ZAFERTEPECALKOY-ALTINTAS,(KUTAHYA),Quick,,,,
32,2020.12.03,03:44:35,37.8867,26.5057,18.7,-.-,1.5,-.-,AEGEAN,SEA,Quick,,,,
33,2020.12.03,03:43:29,36.286,28.4838,19.7,-.-,1.6,-.-,MEDITERRANEAN,SEA,Quick,,,,
34,2020.12.03,03:41:55,38.9442,30.0625,4.5,-.-,2.8,-.-,ZAFERTEPECALKOY-ALTINTAS,(KUTAHYA),Quick,,,,
35,2020.12.03,03:39:26,38.4775,39.1035,4.9,-.-,1.5,-.-,MOLLAALI-SIVRICE,(ELAZIG),Quick,,,,
36,2020.12.03,03:37:10,37.8622,26.478,8.9,-.-,1.8,-.-,SISAM,ADASI,(AEGEAN,SEA),Quick,,
37,2020.12.03,03:20:15,40.585,28.9928,6.1,-.-,1.8,-.-,SENKOY-CINARCIK,(YALOVA),Quick,,,,
38,2020.12.03,03:05:30,41.3475,43.9537,5.2,-.-,2.4,-.-,GURCISTAN,Quick,,,,,
39,2020.12.03,02:46:04,37.659,25.856,5.2,-.-,1.5,-.-,ONIKI,ADALAR,(MEDITERRANEAN,SEA),Quick,,
